[constructive_heuristic] best sol improved: score=25, dist=4.181542083908063, Solution(n=21, next=[14, None, None, None, None, None, None, None, None, None, None, None, None, None, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=35, dist=4.294018369255038, Solution(n=21, next=[13, None, None, None, None, None, None, None, None, None, None, None, None, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=50, dist=6.144220701734792, Solution(n=21, next=[11, None, None, None, None, None, None, None, None, None, None, 13, None, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=60, dist=6.574221627853255, Solution(n=21, next=[12, None, None, None, None, None, None, None, None, None, None, 13, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=70, dist=7.549173123494859, Solution(n=21, next=[7, None, None, None, None, None, None, 12, None, None, None, 13, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=90, dist=10.132735376704227, Solution(n=21, next=[7, None, None, None, None, None, None, 12, None, None, 13, 10, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=110, dist=13.782665747892871, Solution(n=21, next=[7, None, None, None, None, None, None, 12, None, 10, 13, 9, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=130, dist=15.648487060997198, Solution(n=21, next=[7, None, None, None, None, None, None, 12, 9, 10, 13, 8, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=150, dist=17.89346400300882, Solution(n=21, next=[7, None, 8, None, None, None, None, 12, 9, 10, 13, 2, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=170, dist=20.71624943870877, Solution(n=21, next=[7, None, 8, 2, None, None, None, 12, 9, 10, 13, 3, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=185, dist=21.96439756643508, Solution(n=21, next=[7, None, 8, 2, None, None, 3, 12, 9, 10, 13, 6, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=200, dist=22.22280746274044, Solution(n=21, next=[7, None, 8, 2, None, 3, 5, 12, 9, 10, 13, 6, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=230, dist=26.47162664822382, Solution(n=21, next=[7, None, 8, 2, 3, 4, 5, 12, 9, 10, 13, 6, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=260, dist=31.560429560384065, Solution(n=21, next=[7, 3, 8, 2, 1, 4, 5, 12, 9, 10, 13, 6, 11, 14, 20, None, None, None, None, None, None])
[constructive_heuristic] best sol improved: score=290, dist=38.76716135556636, Solution(n=21, next=[7, 18, 8, 2, 1, 4, 5, 12, 9, 10, 13, 6, 11, 14, 20, None, None, None, 3, None, None])
[constructive_heuristic] finished construction phase, Solution(n=21, next=[7, 18, 8, 2, 1, 4, 5, 12, 9, 10, 13, 6, 11, 14, 20, None, None, None, 3, None, None])
[local_search] best sol improved: score=300, dist=39.58543362108345, Solution(n=21, next=[7, 18, 8, None, 1, 4, 5, 12, 9, 10, 13, 6, 11, 14, 20, None, None, 2, 17, None, None])
[local_search] best sol improved: score=300, dist=38.8557172304523, Solution(n=21, next=[12, 18, 8, None, 1, 4, 5, 6, 9, 10, 13, 7, 11, 14, 20, None, None, 2, 17, None, None])
[local_search] best sol improved: score=320, dist=39.72939743491521, Solution(n=21, next=[12, 18, 8, 4, 1, 3, 5, 6, 9, 10, 13, 7, 11, 14, 20, None, None, 2, 17, None, None])
[local_search] best sol improved: score=320, dist=39.30319543912696, Solution(n=21, next=[11, 18, 8, 4, 1, 3, 5, 6, 9, 10, 13, 12, 7, 14, 20, None, None, 2, 17, None, None])
[local_search] best sol improved: score=320, dist=38.11583172859031, Solution(n=21, next=[12, 18, 8, 4, 1, 3, 5, 6, 9, 10, 11, 13, 7, 14, 20, None, None, 2, 17, None, None])
[local_search] best sol improved: score=340, dist=39.74264705888127, Solution(n=21, next=[12, 18, 8, 4, 1, 3, 5, 6, 9, 10, 11, 13, 7, 14, 20, None, None, None, 19, 2, None])
[local_search] best sol improved: score=350, dist=39.03725614744641, Solution(n=21, next=[12, 18, None, 4, 1, 3, 5, 6, 9, 10, 11, 13, 7, 14, 20, None, None, 8, 19, 17, None])
[local_search] best sol improved: score=350, dist=36.92692595407038, Solution(n=21, next=[12, 19, None, 4, 1, 3, 5, 6, 9, 10, 11, 13, 7, 14, 20, None, None, 8, 17, 18, None])
[local_search] best sol improved: score=370, dist=38.90698408296598, Solution(n=21, next=[12, 19, 3, 4, 1, 2, 5, 6, 9, 10, 11, 13, 7, 14, 20, None, None, 8, 17, 18, None])
