instance,config,score,dist,time
tsiligirides_problem_2_budget_40,tabu-int,25,4.18,0.00
tsiligirides_problem_2_budget_40,tabu-int,35,4.29,0.09
tsiligirides_problem_2_budget_40,tabu-int,50,6.14,0.12
tsiligirides_problem_2_budget_40,tabu-int,60,6.57,0.15
tsiligirides_problem_2_budget_40,tabu-int,70,7.55,0.18
tsiligirides_problem_2_budget_40,tabu-int,90,10.13,0.21
tsiligirides_problem_2_budget_40,tabu-int,110,13.78,0.24
tsiligirides_problem_2_budget_40,tabu-int,130,15.65,0.27
tsiligirides_problem_2_budget_40,tabu-int,150,17.89,0.30
tsiligirides_problem_2_budget_40,tabu-int,170,20.72,0.34
tsiligirides_problem_2_budget_40,tabu-int,185,21.96,0.37
tsiligirides_problem_2_budget_40,tabu-int,200,22.22,0.41
tsiligirides_problem_2_budget_40,tabu-int,230,26.47,0.44
tsiligirides_problem_2_budget_40,tabu-int,260,31.56,0.48
tsiligirides_problem_2_budget_40,tabu-int,290,38.77,0.52
tsiligirides_problem_2_budget_40,tabu-int,300,39.59,0.60
tsiligirides_problem_2_budget_40,tabu-int,320,39.73,0.67
tsiligirides_problem_2_budget_40,tabu-int,340,39.74,0.80
tsiligirides_problem_2_budget_40,tabu-int,350,39.04,0.84
tsiligirides_problem_2_budget_40,tabu-int,370,38.91,0.92
