200 1
44.2 31.0 0
20.7 33.2 0
39.8 18.1 40
46.5 44.2 35
22.5 10.7 50
3.0 13.4 35
14.2 1.8 5
27.1 38.4 35
25.8 14.8 50
21.7 6.9 35
48.0 37.1 5
41.1 12.2 15
43.4 20.0 40
16.5 41.6 10
25.4 9.7 25
19.3 18.0 15
30.8 22.8 40
46.6 42.7 45
47.4 4.1 40
12.1 6.1 45
26.8 41.0 50
8.1 8.4 5
15.4 44.7 5
47.9 36.7 40
39.6 48.9 30
5.8 3.3 25
32.6 42.8 40
41.9 30.3 5
13.8 33.4 35
28.2 28.3 20
37.1 31.8 45
42.4 35.8 10
31.8 4.7 15
8.5 2.3 5
16.8 7.3 35
6.0 33.5 35
38.3 10.6 30
4.7 32.0 5
44.5 43.5 20
36.0 30.4 5
17.9 7.1 5
25.1 21.0 45
29.6 5.6 50
6.1 19.9 10
19.1 43.6 20
23.2 49.1 10
17.1 2.8 50
32.2 46.3 20
33.7 2.1 25
11.4 10.9 25
29.2 10.4 15
48.6 37.7 10
23.6 46.6 40
27.6 25.5 35
14.3 11.7 10
4.1 38.2 5
42.2 41.9 25
29.0 48.2 40
1.7 35.7 10
5.7 45.2 25
37.8 28.8 15
21.4 22.7 45
37.3 32.7 30
43.2 48.1 10
48.9 14.3 15
35.2 4.5 25
33.0 12.3 5
1.0 4.6 5
32.3 34.1 5
26.2 16.4 20
18.0 18.9 25
13.4 23.3 45
46.4 10.2 30
17.6 44.3 30
37.0 26.7 50
4.2 24.9 5
10.7 3.0 50
30.0 31.5 40
12.3 43.7 40
13.2 36.8 35
8.2 45.9 30
28.8 11.2 45
23.9 45.6 15
5.6 19.3 20
5.1 49.3 35
17.3 25.0 50
27.0 30.1 25
26.0 9.6 5
6.5 47.7 15
16.4 35.4 15
45.0 11.4 25
15.9 40.2 30
47.0 3.9 30
7.3 35.6 30
44.3 9.1 10
43.0 9.2 30
28.6 18.5 50
45.1 28.1 5
46.8 13.8 5
40.6 7.0 25
31.0 42.3 15
15.7 23.6 15
23.7 35.0 50
41.7 9.9 25
31.5 1.6 30
49.9 25.1 35
17.2 46.9 45
30.4 21.9 15
13.3 41.4 25
15.8 27.0 10
10.4 16.9 40
10.6 34.2 20
10.5 19.2 5
2.6 20.8 25
43.7 34.6 15
34.6 40.9 45
44.6 8.8 10
25.3 29.7 25
4.5 36.3 35
5.5 39.6 30
35.7 24.4 25
7.6 5.0 35
8.6 49.8 10
2.9 47.5 10
41.6 44.0 45
36.8 15.3 40
40.4 7.9 40
35.9 13.2 30
21.0 25.6 30
40.8 19.0 10
27.8 32.2 40
15.1 15.7 10
27.7 41.1 40
13.0 41.7 35
12.0 31.2 5
38.0 47.2 25
31.1 43.8 30
22.4 7.7 15
30.6 16.8 15
15.0 38.7 50
24.0 22.2 35
43.1 34.3 10
34.8 5.1 10
33.8 1.0 10
19.2 31.4 20
5.2 10.8 20
42.7 37.8 5
38.6 40.6 35
6.9 37.3 5
25.9 12.4 10
