260 1
87.4 87.2 0
40.4 9.2 0
78.6 92.9 10
92.1 72.6 50
44.0 95.5 40
5.1 85.9 15
27.5 56.3 5
53.3 70.9 40
50.7 41.0 35
42.4 86.7 50
95.0 73.2 45
81.2 54.7 25
85.9 29.2 30
32.0 54.4 35
49.8 84.1 25
37.6 25.1 15
60.7 87.9 45
92.3 23.0 5
93.9 92.6 40
23.3 70.5 10
52.6 61.3 30
15.2 85.5 5
29.8 43.9 45
15.3 60.3 25
78.3 29.1 15
10.7 47.1 20
64.3 51.4 40
82.8 68.6 30
26.6 66.6 50
94.1 72.7 25
55.5 94.8 30
73.2 82.2 50
83.9 37.5 50
62.6 9.4 15
93.3 34.2 25
16.0 63.7 35
32.7 12.8 35
11.1 50.8 10
75.7 61.1 5
8.5 65.5 50
93.0 35.3 20
88.0 87.5 30
71.0 20.4 15
34.8 25.8 20
49.3 2.6 20
58.3 75.9 40
11.3 28.7 35
37.2 12.9 50
45.4 99.0 35
33.3 23.5 5
63.5 39.0 35
66.5 82.3 50
94.4 18.4 35
21.9 35.0 5
57.5 44.6 15
98.6 84.5 40
46.3 7.3 10
89.6 11.3 25
54.3 81.1 15
27.6 15.9 40
7.3 88.5 45
83.4 72.4 40
57.1 23.4 45
2.4 5.6 50
10.5 84.6 5
74.6 59.7 5
87.0 65.9 40
41.8 55.7 30
73.7 62.6 25
85.4 70.6 40
81.3 8.5 5
69.4 3.7 35
65.0 13.7 20
1.1 66.0 45
63.6 20.3 10
51.5 63.0 15
85.7 86.0 5
89.8 59.9 35
35.1 13.2 35
25.9 99.2 30
96.2 10.3 5
34.3 38.9 20
73.0 86.3 5
90.1 96.4 5
7.4 4.7 45
20.5 92.5 50
59.1 3.2 10
23.7 20.9 20
25.4 19.9 10
83.2 74.5 50
15.5 13.6 20
91.1 50.0 25
56.6 22.5 25
46.8 75.4 15
10.3 82.9 10
9.2 7.2 40
33.7 98.1 35
53.0 3.3 10
51.1 56.7 5
12.1 44.5 25
31.8 64.5 40
57.4 94.3 10
30.8 86.5 25
73.3 27.6 15
13.7 8.1 45
57.0 23.6 30
35.0 8.3 10
84.4 67.2 15
56.3 31.8 25
21.8 36.8 5
97.3 45.6 5
62.7 19.4 5
89.5 90.5 20
61.1 52.5 25
30.4 48.8 45
46.5 5.0 30
90.6 62.0 30
62.0 89.9 50
82.7 99.7 5
99.9 92.1 50
33.4 21.4 40
59.9 89.7 40
25.7 37.7 35
30.7 99.6 30
19.8 49.1 45
20.3 86.8 15
85.1 59.3 20
20.1 18.3 35
4.3 93.9 50
63.7 69.8 25
68.2 21.8 5
97.1 79.5 15
49.7 6.9 15
8.0 81.7 25
10.1 70.2 30
70.5 17.2 30
78.5 17.5 30
14.3 36.0 10
16.3 55.2 30
4.9 26.6 50
